start_time,end_time,start_lat         ,start_lng         ,end_lat           ,end_lng           ,act_duration,duration,distance,labels
11.4      ,11.6    ,118.95174499999999,32.123727         ,118.955956        ,32.111304         ,600         ,362     ,1508    ,3
11.7      ,11.7    ,118.955956        ,32.111304         ,118.95705600000001,32.115565000000004,120         ,152     ,635     ,2
11.9      ,12.0    ,118.95503899999999,32.112984000000004,118.96389599999999,32.108959000000006,300         ,512     ,2134    ,3
9.9       ,10.7    ,118.95260400000001,32.121772         ,118.953119        ,32.117638         ,3000        ,104     ,433     ,2
11.8      ,11.8    ,118.95705600000001,32.115565000000004,118.95503899999999,32.112984000000004,120         ,100     ,415     ,2
10.9      ,11.2    ,118.953065        ,32.117413         ,118.953333        ,32.115357         ,1080        ,66      ,274     ,2
9.6       ,9.6     ,118.961836        ,32.115332         ,118.95410600000001,32.114693         ,240         ,203     ,847     ,2
7.3       ,9.3     ,118.962474        ,32.111907         ,118.96229699999999,32.112008         ,7140        ,3       ,13      ,2
9.6       ,18.2    ,118.96229699999999,32.112008         ,118.962034        ,32.112401         ,31200       ,4       ,16      ,1
20.2      ,20.6    ,118.962034        ,32.112401         ,118.962447        ,32.112424         ,1500        ,8       ,34      ,0
20.8      ,20.9    ,118.955436        ,32.11488          ,118.95663799999998,32.11173          ,240         ,97      ,406     ,0
21.3      ,21.6    ,118.95663799999998,32.11173          ,118.954889        ,32.113339         ,1080        ,62      ,257     ,0
16.8      ,16.9    ,118.95509299999999,32.116318         ,118.95416499999999,32.114665         ,120         ,79      ,328     ,0
10.7      ,16.7    ,118.96248999999999,32.115359000000005,118.95509299999999,32.116318         ,21720       ,184     ,766     ,1
0.3       ,1.2     ,118.953698        ,32.123197         ,118.95383700000001,32.123311         ,3480        ,3       ,13      ,2
18.1      ,20.6    ,118.95225500000001,32.122440999999995,118.955436        ,32.11488          ,9300        ,240     ,1001    ,0
8.7       ,10.2    ,118.953548        ,32.122888         ,118.96143899999998,32.115212         ,5220        ,345     ,1439    ,3
17.0      ,17.4    ,118.95416499999999,32.114665         ,118.952228        ,32.122403000000006,1560        ,211     ,880     ,0
10.1      ,11.3    ,118.958526        ,32.110155999999996,118.958757        ,32.109839         ,4320        ,6       ,25      ,2
13.3      ,15.3    ,118.958757        ,32.109839         ,118.95866000000001,32.110211         ,7320        ,5       ,21      ,2
15.8      ,23.4    ,118.95866000000001,32.110211         ,118.954073        ,32.114711         ,27360       ,190     ,793     ,1
14.9      ,16.6    ,118.962898        ,32.110675         ,118.96285         ,32.110343         ,6060        ,3       ,12      ,0
2.6       ,4.7     ,118.962925        ,32.110657         ,118.96293         ,32.110318         ,7380        ,5       ,20      ,2
6.9       ,22.0    ,118.961546        ,32.109916999999996,118.960328        ,32.110239         ,54360       ,12      ,52      ,1
23.0      ,23.1    ,118.958226        ,32.11505          ,118.95387         ,32.122523         ,360         ,288     ,1200    ,0
8.1       ,21.7    ,118.958875        ,32.111669         ,118.95561299999999,32.11537          ,48960       ,130     ,541     ,1
16.3      ,20.5    ,118.955023        ,32.111803         ,118.951182        ,32.112389         ,15120       ,475     ,1978    ,3
11.9      ,12.6    ,118.95596200000001,32.111144         ,118.96002299999999,32.111104         ,2700        ,101     ,421     ,2
4.1       ,5.1     ,118.956053        ,32.116234000000006,118.95572         ,32.116923         ,3420        ,19      ,81      ,2
13.8      ,17.2    ,118.96194299999999,32.111104         ,118.95251200000001,32.124743         ,12060       ,517     ,2153    ,3
17.9      ,18.1    ,118.952657        ,32.122583         ,118.956235        ,32.110467         ,480         ,350     ,1460    ,3
12.8      ,13.0    ,118.96002299999999,32.111104         ,118.955382        ,32.115319         ,600         ,180     ,750     ,2
9.9       ,11.3    ,118.951499        ,32.117554         ,118.95596200000001,32.111144         ,5160        ,218     ,910     ,2
7.4       ,7.4     ,118.95566699999999,32.116746         ,118.952056        ,32.117377000000005,240         ,115     ,481     ,2
1.4       ,3.1     ,118.955817        ,32.116586         ,118.956053        ,32.116234000000006,6000        ,3       ,11      ,2
17.6      ,17.7    ,118.95248600000001,32.12472          ,118.953934        ,32.114309999999996,480         ,323     ,1346    ,3
19.2      ,19.4    ,118.956235        ,32.110467         ,118.95648200000001,32.110036         ,600         ,85      ,354     ,0
13.2      ,13.2    ,118.955382        ,32.115319         ,118.96194299999999,32.111104         ,240         ,222     ,926     ,2
17.8      ,17.9    ,118.953934        ,32.114309999999996,118.952657        ,32.122583         ,480         ,246     ,1027    ,0
13.9      ,16.0    ,118.955983        ,32.110944         ,118.95219099999998,32.117387         ,7320        ,207     ,863     ,0
18.3      ,18.3    ,118.954867        ,32.111773         ,118.95858         ,32.111666         ,120         ,127     ,529     ,0
20.4      ,21.6    ,118.957775        ,32.112807000000004,118.953972        ,32.116023         ,4200        ,139     ,580     ,0
8.1       ,8.3     ,118.954401        ,32.112939000000004,118.962608        ,32.115096         ,600         ,214     ,890     ,2
10.1      ,13.9    ,118.961584        ,32.111889         ,118.955983        ,32.110944         ,13500       ,131     ,544     ,2
17.9      ,18.0    ,118.95567199999999,32.115103000000005,118.954867        ,32.111773         ,360         ,123     ,511     ,0
8.4       ,9.1     ,118.962608        ,32.115096         ,118.961584        ,32.111889         ,2580        ,103     ,431     ,2
17.1      ,17.2    ,118.95219099999998,32.117387         ,118.954631        ,32.113725         ,120         ,127     ,531     ,0
17.6      ,17.6    ,118.955624        ,32.113081         ,118.95567199999999,32.115103000000005,120         ,71      ,297     ,0
11.4      ,11.5    ,118.95343999999999,32.118415999999996,118.95609099999999,32.111821         ,240         ,197     ,820     ,2
11.6      ,11.7    ,118.95609099999999,32.111821         ,118.952657        ,32.122763         ,360         ,318     ,1327    ,3
11.8      ,11.9    ,118.952657        ,32.122763         ,118.95262         ,32.122576         ,360         ,5       ,21      ,2
18.4      ,18.6    ,118.96188899999999,32.115268         ,118.952201        ,32.12473          ,720         ,433     ,1806    ,3
15.8      ,16.0    ,118.96220600000001,32.115339         ,118.96223300000001,32.115233         ,600         ,3       ,12      ,0
16.5      ,18.2    ,118.96223300000001,32.115233         ,118.96188899999999,32.115268         ,6240        ,5       ,20      ,0
13.9      ,15.7    ,118.958767        ,32.111689         ,118.96220600000001,32.115339         ,6600        ,170     ,707     ,0
12.0      ,13.4    ,118.95899299999999,32.112809000000006,118.95241599999999,32.124464         ,5280        ,394     ,1643    ,3
9.9       ,11.9    ,118.95886899999999,32.112769         ,118.95899299999999,32.112809000000006,7320        ,3       ,13      ,2
18.1      ,19.4    ,118.96195900000001,32.115196999999995,118.96176100000001,32.115281         ,4440        ,5       ,20      ,0
13.6      ,14.1    ,118.95241599999999,32.124464         ,118.960811        ,32.113101         ,1680        ,436     ,1817    ,3
13.3      ,13.8    ,118.956139        ,32.116401         ,118.96072         ,32.109603         ,1800        ,261     ,1086    ,3
12.6      ,12.8    ,118.951182        ,32.112389         ,118.956139        ,32.116401         ,480         ,309     ,1289    ,3
10.0      ,10.1    ,118.960167        ,32.109408         ,118.956498        ,32.110262         ,240         ,141     ,587     ,2
12.8      ,15.9    ,118.951187        ,32.112657         ,118.960822        ,32.111554999999996,11280       ,607     ,2528    ,3
17.9      ,21.9    ,118.960822        ,32.111554999999996,118.960897        ,32.111689         ,14460       ,3       ,12      ,0
10.8      ,11.4    ,118.960822        ,32.111494         ,118.951187        ,32.112657         ,2400        ,699     ,2914    ,3
2.9       ,4.8     ,118.96025300000001,32.111689         ,118.96094         ,32.111519         ,6900        ,18      ,75      ,2
23.0      ,23.1    ,118.952201        ,32.123301         ,118.961514        ,32.115093         ,480         ,395     ,1647    ,0
20.5      ,20.6    ,118.95535         ,32.115076         ,118.952244        ,32.123258         ,360         ,262     ,1090    ,0
12.5      ,12.6    ,118.957668        ,32.113417999999996,118.956445        ,32.113735         ,360         ,78      ,326     ,2
7.9       ,12.1    ,118.955077        ,32.113096         ,118.9549          ,32.113285999999995,15120       ,6       ,27      ,2
12.4      ,12.5    ,118.96040900000001,32.109611         ,118.957668        ,32.113417999999996,240         ,154     ,642     ,2
12.3      ,12.4    ,118.9549          ,32.113285999999995,118.96040900000001,32.109611         ,360         ,207     ,864     ,2
17.8      ,17.8    ,118.96191599999999,32.112513         ,118.96280700000001,32.115080999999996,120         ,96      ,400     ,0
12.8      ,17.1    ,118.95691699999999,32.11397          ,118.96191599999999,32.112513         ,15420       ,162     ,674     ,0
19.4      ,21.3    ,118.963338        ,32.111443         ,118.962893        ,32.112398999999996,7020        ,45      ,189     ,0
3.4       ,5.4     ,118.956101        ,32.116477         ,118.95608         ,32.116619         ,7140        ,4       ,15      ,2
8.0       ,15.4    ,118.95723799999999,32.115557         ,118.963177        ,32.109813         ,26400       ,375     ,1563    ,1
