,HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,NORTHERN_SCH,DE_AREA,C_AREA,MALL_AREA,timeStamp
60,2366,47,1709,552,12,9,32,2022-11-14-09-41
61,2524,853,471,268,511,341,58,2022-11-14-12-26
62,2528,872,378,297,554,349,59,2022-11-14-12-44
63,2434,858,369,288,542,293,64,2022-11-14-12-53
64,2396,753,442,388,521,211,60,2022-11-14-13-08
65,2249,216,1053,643,204,67,55,2022-11-14-13-27
66,2051,161,1176,531,99,32,46,2022-11-14-15-17
67,2181,192,1199,534,121,75,50,2022-11-14-15-29
68,2258,214,1178,526,145,134,50,2022-11-14-15-38
69,2367,245,1177,525,190,169,50,2022-11-14-15-47
70,2369,265,1107,530,192,206,57,2022-11-14-15-59
71,2380,319,1034,442,223,290,61,2022-11-14-16-09
72,2240,860,396,167,352,386,63,2022-11-14-17-28
73,2222,911,353,159,373,343,67,2022-11-14-17-40
74,2215,924,364,197,340,309,69,2022-11-14-17-50
75,2136,868,400,207,307,271,72,2022-11-14-18-02
76,2096,716,619,307,211,152,78,2022-11-14-18-15
77,2061,416,979,382,107,72,98,2022-11-14-18-24
78,2155,400,1101,402,104,44,98,2022-11-14-18-33
79,2524,796,602,414,355,230,113,2022-11-14-21-00
80,2529,809,558,407,305,320,115,2022-11-14-21-09
81,2401,830,463,392,245,343,111,2022-11-14-21-29
82,2407,822,447,376,251,384,109,2022-11-14-21-37
83,2570,835,407,352,436,413,107,2022-11-14-21-47
84,2511,878,374,333,369,432,107,2022-11-14-21-57
85,2603,882,358,313,448,479,105,2022-11-14-22-08
86,2642,912,325,300,480,503,104,2022-11-14-22-17
87,2619,909,314,292,466,524,96,2022-11-14-22-26
88,2547,872,307,293,455,508,94,2022-11-14-22-34
89,2591,906,301,290,486,498,92,2022-11-14-22-44
90,2584,927,286,291,526,446,91,2022-11-14-22-55
91,2613,944,286,290,546,437,93,2022-11-14-23-05
92,2632,931,285,290,523,492,94,2022-11-14-23-16
93,2625,952,304,289,547,420,95,2022-11-14-23-25
94,2584,947,298,288,474,463,96,2022-11-14-23-35
95,2627,952,310,293,548,408,97,2022-11-14-23-45
96,2614,940,305,293,541,418,97,2022-11-14-23-54
97,2652,958,302,293,521,460,97,2022-11-15-00-04
98,2647,949,298,292,483,509,96,2022-11-15-00-14
99,2623,956,297,292,456,505,97,2022-11-15-00-23
100,2590,950,295,293,477,457,97,2022-11-15-00-32
101,2756,948,293,293,544,558,97,2022-11-15-00-38
102,2296,749,292,293,412,430,97,2022-11-15-00-40
103,2767,950,291,293,551,558,97,2022-11-15-00-47
104,2658,948,290,293,535,468,97,2022-11-15-00-49
105,2427,793,290,293,475,450,98,2022-11-15-00-57
106,2749,951,290,293,548,541,98,2022-11-15-00-57
107,2237,740,288,292,334,457,98,2022-11-15-01-04
108,2768,950,288,292,551,561,98,2022-11-15-01-06
109,2744,939,282,290,548,558,98,2022-11-15-01-14
110,2729,941,283,290,551,537,98,2022-11-15-01-16
111,2714,952,284,290,552,509,98,2022-11-15-01-23
112,2718,951,283,290,550,516,98,2022-11-15-01-26
113,2738,954,282,290,517,570,96,2022-11-15-01-33
114,2657,935,280,290,515,512,96,2022-11-15-01-36
115,2702,925,279,290,518,565,95,2022-11-15-01-42
116,2694,926,277,290,542,535,95,2022-11-15-01-45
117,2746,942,278,288,551,564,95,2022-11-15-01-52
118,2711,940,279,288,517,564,95,2022-11-15-01-55
119,2696,907,279,288,550,549,96,2022-11-15-02-01
120,2732,944,279,288,551,547,96,2022-11-15-02-04
121,2689,945,280,288,550,505,96,2022-11-15-02-11
122,2618,917,280,287,495,518,96,2022-11-15-02-13
123,2759,958,280,284,550,566,97,2022-11-15-02-21
124,2711,956,280,287,543,525,97,2022-11-15-02-24
125,2723,955,280,285,522,561,97,2022-11-15-02-30
126,2727,962,280,288,519,560,97,2022-11-15-02-33
127,2538,889,280,287,456,507,97,2022-11-15-02-38
128,2728,966,280,286,527,552,97,2022-11-15-02-43
129,2766,959,280,287,552,571,97,2022-11-15-02-49
130,2726,966,282,287,521,555,97,2022-11-15-02-53
131,2697,969,282,287,549,498,96,2022-11-15-02-59
132,2767,965,282,287,548,573,96,2022-11-15-03-03
133,2692,967,282,287,514,530,96,2022-11-15-03-09
134,2741,964,283,287,524,571,96,2022-11-15-03-13
135,2765,968,283,287,547,568,96,2022-11-15-03-18
136,2660,932,284,287,514,531,96,2022-11-15-03-23
137,2754,947,284,287,550,574,96,2022-11-15-03-28
138,2708,949,283,288,520,556,96,2022-11-15-03-32
139,2766,968,284,288,546,568,96,2022-11-15-03-38
140,2759,962,284,288,550,562,96,2022-11-15-03-41
141,2761,965,284,288,546,566,96,2022-11-15-03-48
142,2684,954,284,288,523,524,96,2022-11-15-03-51
143,2758,964,283,288,551,561,96,2022-11-15-03-58
144,2781,972,283,288,554,573,96,2022-11-15-04-01
145,2760,956,284,288,552,568,96,2022-11-15-04-08
146,2777,973,284,288,550,571,95,2022-11-15-04-11
147,2756,951,284,288,552,571,94,2022-11-15-04-17
148,2439,828,284,288,443,486,94,2022-11-15-04-19
149,2760,954,284,288,555,569,94,2022-11-15-04-27
150,2744,955,284,288,545,562,94,2022-11-15-04-29
151,2758,963,285,288,553,560,94,2022-11-15-04-36
152,2759,968,285,288,554,555,94,2022-11-15-04-39
153,2430,834,285,288,397,517,94,2022-11-15-04-45
154,2655,934,285,288,522,517,94,2022-11-15-04-49
155,2697,945,285,288,553,516,94,2022-11-15-04-57
156,2681,961,285,288,523,514,94,2022-11-15-04-58
157,2523,852,285,288,493,494,95,2022-11-15-05-05
158,2762,964,285,288,555,559,95,2022-11-15-05-07
159,2759,972,285,287,552,551,95,2022-11-15-05-15
160,2730,940,286,286,555,551,95,2022-11-15-05-17
161,2744,952,285,288,555,552,95,2022-11-15-05-24
162,2729,953,285,288,537,554,95,2022-11-15-05-26
163,2727,925,286,287,557,557,95,2022-11-15-05-34
164,2717,952,285,288,535,542,95,2022-11-15-05-37
165,2485,801,286,288,461,534,95,2022-11-15-05-45
166,2744,939,286,288,557,559,95,2022-11-15-05-46
167,2770,966,286,289,553,561,95,2022-11-15-05-55
168,2770,962,286,289,556,560,96,2022-11-15-06-00
169,2739,932,286,289,556,560,96,2022-11-15-06-05
170,2744,936,287,288,555,562,96,2022-11-15-06-09
171,2782,964,287,287,556,573,95,2022-11-15-06-15
172,2776,957,287,288,554,575,95,2022-11-15-06-20
173,2720,962,287,287,551,519,94,2022-11-15-06-25
174,2679,967,286,287,551,473,95,2022-11-15-06-30
175,2723,935,286,287,541,559,95,2022-11-15-06-35
176,2636,962,284,275,553,448,94,2022-11-15-06-40
177,2595,963,287,288,551,394,92,2022-11-15-06-47
178,2719,967,288,284,549,519,92,2022-11-15-06-50
179,2646,971,288,286,549,443,89,2022-11-15-06-57
180,2650,963,289,286,543,462,88,2022-11-15-07-00
181,2543,936,291,286,504,418,88,2022-11-15-07-07
182,2430,919,293,286,443,382,87,2022-11-15-07-08
183,2229,718,326,292,386,402,86,2022-11-15-07-15
184,2280,658,571,312,270,367,85,2022-11-15-07-25
185,2544,706,652,309,296,475,85,2022-11-15-07-30
186,2687,582,951,360,215,485,79,2022-11-15-07-36
187,2602,563,1024,366,167,387,79,2022-11-15-07-40
188,2664,565,1038,380,176,412,77,2022-11-15-07-45
189,2676,565,1059,381,173,405,77,2022-11-15-07-50
190,2640,545,1080,385,159,381,74,2022-11-15-07-56
191,2506,476,1127,401,68,350,67,2022-11-15-08-09
192,2644,398,1348,476,32,315,64,2022-11-15-08-21
193,2666,382,1404,480,24,309,58,2022-11-15-08-31
194,2640,375,1392,479,23,304,58,2022-11-15-08-40
195,2724,357,1489,497,24,290,58,2022-11-15-08-50
196,2729,337,1521,504,24,281,53,2022-11-15-09-04
197,2770,343,1554,508,33,271,52,2022-11-15-09-14
198,2763,333,1560,506,35,266,54,2022-11-15-09-23
199,2800,329,1561,508,75,263,55,2022-11-15-09-33
200,2707,319,1490,505,66,261,57,2022-11-15-09-42
201,2758,300,1574,515,50,253,57,2022-11-15-09-54
202,2764,291,1603,526,41,237,59,2022-11-15-10-05
203,2818,286,1661,529,32,245,59,2022-11-15-10-15
204,2782,282,1620,532,33,248,60,2022-11-15-10-24
205,2831,286,1660,537,30,250,61,2022-11-15-10-34
206,2601,287,1449,534,31,231,62,2022-11-15-10-43
207,2858,292,1653,535,39,269,63,2022-11-15-10-53
208,2848,289,1661,529,40,255,66,2022-11-15-11-02
209,2832,299,1657,524,39,239,66,2022-11-15-11-11
210,2865,302,1645,522,45,278,65,2022-11-15-11-22
211,2861,302,1621,521,52,291,65,2022-11-15-11-32
212,2730,450,1182,442,256,329,62,2022-11-15-11-50
213,2718,565,1079,342,273,379,67,2022-11-15-12-01
214,2759,608,1020,332,304,408,72,2022-11-15-12-13
215,2738,666,838,319,403,421,73,2022-11-15-12-31
216,2447,715,749,292,208,383,84,2022-11-15-12-46
217,2712,740,785,306,434,358,75,2022-11-15-13-00
218,2529,626,873,372,295,278,72,2022-11-15-13-15
219,2559,316,1426,576,74,97,61,2022-11-15-13-28
220,2584,273,1526,611,37,72,58,2022-11-15-13-38
221,2574,245,1569,590,47,61,56,2022-11-15-13-49
222,2596,256,1603,581,46,48,56,2022-11-15-14-00
223,2591,223,1621,557,66,62,56,2022-11-15-14-09
224,2598,232,1598,565,83,59,55,2022-11-15-14-18
225,2473,222,1468,580,81,60,55,2022-11-15-14-27
226,2671,245,1641,581,70,71,56,2022-11-15-14-47
227,2670,231,1649,570,75,80,58,2022-11-15-14-58
228,2648,208,1533,580,172,91,59,2022-11-15-15-14
229,2639,163,1525,591,178,118,59,2022-11-15-15-24
230,2626,166,1503,533,222,138,58,2022-11-15-15-37
231,2651,171,1496,466,265,185,63,2022-11-15-15-48
232,2725,188,1489,454,295,228,66,2022-11-15-15-59
233,2606,192,1380,438,266,260,65,2022-11-15-16-09
234,2720,233,1431,395,304,283,69,2022-11-15-16-20
235,2768,278,1415,372,330,295,72,2022-11-15-16-33
236,2699,334,1256,315,390,324,74,2022-11-15-16-48
237,2226,561,746,142,257,421,88,2022-11-15-17-05
238,2458,655,722,127,388,465,86,2022-11-15-17-18
239,2636,737,685,122,562,419,94,2022-11-15-17-33
240,2521,744,633,133,543,351,98,2022-11-15-17-45
241,2591,747,716,135,532,346,96,2022-11-15-17-59
242,2544,684,799,178,454,314,100,2022-11-15-18-13
243,2562,522,1117,226,313,290,82,2022-11-15-18-27
244,2560,460,1221,280,240,256,97,2022-11-15-18-46
245,2590,459,1243,254,270,259,100,2022-11-15-18-56
246,2558,445,1258,272,248,227,102,2022-11-15-19-06
247,2526,428,1242,269,236,241,104,2022-11-15-19-15
248,2572,439,1235,268,257,256,110,2022-11-15-19-25
249,2571,421,1234,281,234,285,110,2022-11-15-19-36
250,2609,427,1251,290,248,276,110,2022-11-15-19-45
251,2577,449,1174,277,266,295,109,2022-11-15-19-57
252,2524,507,1073,260,240,329,109,2022-11-15-20-13
253,2438,521,933,242,244,382,110,2022-11-15-20-25
254,2548,617,816,236,339,418,114,2022-11-15-20-42
255,2115,712,450,155,268,399,114,2022-11-15-20-54
256,2446,790,399,147,524,455,114,2022-11-15-21-05
257,2573,873,383,141,645,403,109,2022-11-15-21-19
258,2618,901,294,175,687,438,108,2022-11-15-21-30
259,2686,915,256,170,728,490,109,2022-11-15-21-41
260,2671,908,230,163,743,500,106,2022-11-15-21-54
261,2654,882,211,193,712,531,100,2022-11-15-22-06
262,2649,883,192,190,725,527,105,2022-11-15-22-17
263,2629,895,192,169,713,522,109,2022-11-15-22-28
264,2637,908,178,170,698,548,107,2022-11-15-22-44
265,2681,888,169,175,746,568,107,2022-11-15-22-55
266,2325,759,162,175,679,415,106,2022-11-15-23-04
267,2711,923,164,175,751,562,107,2022-11-15-23-16
268,2717,927,158,178,752,566,107,2022-11-15-23-27
269,2637,881,134,178,734,574,108,2022-11-15-23-37
