,HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,NORTHERN_SCH,DE_AREA,C_AREA,MALL_AREA,timeStamp
484,2512,992,179,324,397,446,144,2022-11-18-03-53
485,2847,1014,177,324,566,596,144,2022-11-18-04-32
486,2691,1024,174,324,550,447,147,2022-11-18-05-10
487,2835,1024,172,322,548,593,148,2022-11-18-05-49
488,2558,974,173,322,325,584,147,2022-11-18-06-26
489,2554,985,174,314,458,442,148,2022-11-18-06-35
490,2785,1004,177,317,567,542,147,2022-11-18-06-46
491,2812,1010,181,320,567,559,143,2022-11-18-06-58
492,2577,1023,184,329,323,549,137,2022-11-18-07-08
493,2768,1018,187,338,534,522,137,2022-11-18-07-21
494,2658,997,206,375,493,430,125,2022-11-18-07-32
495,2404,936,253,406,289,369,118,2022-11-18-07-42
496,2567,855,458,433,462,227,100,2022-11-18-08-01
497,2465,706,699,516,333,97,81,2022-11-18-08-12
498,2528,628,850,508,353,84,71,2022-11-18-08-25
499,2475,615,877,473,352,55,70,2022-11-18-08-35
500,2605,545,1080,484,334,64,67,2022-11-18-08-47
501,2668,480,1169,529,321,79,57,2022-11-18-09-01
502,2589,483,1094,528,319,77,58,2022-11-18-09-12
503,2683,453,1230,541,293,85,52,2022-11-18-09-23
504,2750,453,1282,545,300,103,46,2022-11-18-09-37
505,2661,431,1268,526,275,96,48,2022-11-18-09-50
506,2622,406,1289,533,253,81,51,2022-11-18-10-01
507,2545,403,1220,539,253,68,54,2022-11-18-10-11
508,2684,449,1316,541,249,63,57,2022-11-18-10-23
509,2721,476,1302,555,251,72,56,2022-11-18-10-34
510,2751,482,1295,568,251,87,60,2022-11-18-10-46
511,2791,494,1252,566,277,128,65,2022-11-18-10-58
512,2754,507,1216,532,276,141,72,2022-11-18-11-08
513,2713,552,1098,470,272,234,76,2022-11-18-11-22
514,2599,717,730,452,314,303,72,2022-11-18-11-35
515,2695,818,628,441,358,366,73,2022-11-18-11-46
516,2713,866,598,390,387,383,76,2022-11-18-11-57
517,2718,857,573,382,404,404,85,2022-11-18-12-09
518,2720,874,535,385,417,408,88,2022-11-18-12-18
519,2791,876,527,386,439,459,91,2022-11-18-12-30
520,2817,880,521,418,431,456,98,2022-11-18-12-43
521,2665,820,546,462,342,385,95,2022-11-18-12-53
522,2593,767,586,497,336,300,93,2022-11-18-13-04
523,2484,640,753,504,312,172,90,2022-11-18-13-17
524,2452,490,1031,555,250,38,80,2022-11-18-13-27
525,2518,431,1210,554,206,29,80,2022-11-18-13-37
526,2593,400,1298,557,209,38,82,2022-11-18-13-47
527,2593,381,1379,550,184,35,55,2022-11-18-14-10
528,2398,403,1176,540,184,32,54,2022-11-18-14-18
529,2475,414,1221,570,174,32,55,2022-11-18-14-27
530,2455,400,1237,552,151,49,57,2022-11-18-14-36
531,2375,392,1181,535,146,52,61,2022-11-18-14-45
532,2596,405,1400,505,158,57,63,2022-11-18-14-57
533,2405,382,1254,483,157,54,67,2022-11-18-15-07
534,2486,595,676,244,360,475,123,2022-11-18-17-30
535,2386,621,532,260,392,427,147,2022-11-18-17-50
536,2471,640,544,269,401,460,150,2022-11-18-18-07
537,2251,526,590,318,299,346,163,2022-11-18-18-16
538,2304,525,644,360,270,328,168,2022-11-18-18-26
539,2313,533,656,378,262,308,169,2022-11-18-18-34
540,2359,528,684,394,283,289,174,2022-11-18-18-43
541,2332,523,680,414,259,280,168,2022-11-18-18-52
542,2356,513,692,444,240,289,171,2022-11-18-19-00
543,2397,548,687,437,244,304,169,2022-11-18-19-11
544,2335,556,605,434,258,308,167,2022-11-18-19-21
545,2356,546,634,428,261,304,169,2022-11-18-19-29
546,2434,559,671,415,272,327,173,2022-11-18-19-38
547,2459,571,640,434,292,328,175,2022-11-18-19-48
548,2383,550,640,408,302,300,165,2022-11-18-19-57
549,2365,598,482,415,318,361,173,2022-11-18-20-11
550,2368,669,483,388,318,319,174,2022-11-18-20-21
551,2400,685,455,380,358,328,175,2022-11-18-20-31
552,2353,683,438,372,315,350,178,2022-11-18-20-39
553,2519,732,426,376,393,394,180,2022-11-18-20-51
554,2588,764,404,372,394,453,184,2022-11-18-21-00
555,2508,737,397,378,341,455,183,2022-11-18-21-08
556,2628,786,371,378,439,458,178,2022-11-18-21-20
557,2627,806,326,389,438,469,180,2022-11-18-21-30
558,2572,809,303,396,357,509,180,2022-11-18-21-39
559,2614,819,270,399,419,504,184,2022-11-18-21-49
560,2700,827,261,396,458,555,179,2022-11-18-22-00
561,2442,846,204,376,251,572,169,2022-11-18-22-18
562,2583,853,196,365,376,599,170,2022-11-18-22-27
563,2675,861,194,371,478,573,173,2022-11-18-22-38
564,2308,799,191,360,284,487,162,2022-11-18-22-46
565,2634,877,175,361,476,557,162,2022-11-18-22-56
566,2638,882,195,367,379,630,159,2022-11-18-23-04
567,2517,874,192,372,356,538,159,2022-11-18-23-13
568,2442,877,190,369,218,603,158,2022-11-18-23-21
569,2734,885,186,373,466,640,157,2022-11-18-23-30
570,2626,669,798,556,339,141,117,2022-11-19-10-56
571,2624,686,781,546,350,136,119,2022-11-19-11-05
572,2607,683,742,544,360,150,120,2022-11-19-11-15
573,2629,682,744,515,379,177,124,2022-11-19-11-26
574,2640,676,741,515,384,182,134,2022-11-19-11-38
575,2608,723,694,494,338,214,137,2022-11-19-11-49
576,2693,735,688,470,430,224,139,2022-11-19-12-00
577,2668,732,684,437,400,258,148,2022-11-19-12-11
578,2689,738,658,443,442,243,155,2022-11-19-12-22
579,2690,718,676,456,441,239,152,2022-11-19-12-31
580,2669,681,716,447,431,233,153,2022-11-19-12-40
581,2673,665,732,451,429,235,153,2022-11-19-12-48
582,2677,656,748,450,451,213,152,2022-11-19-12-57
583,2714,658,757,462,471,201,159,2022-11-19-13-06
584,2689,659,757,472,441,197,157,2022-11-19-13-15
585,2664,622,764,479,443,193,156,2022-11-19-13-24
586,2610,608,777,482,403,179,155,2022-11-19-13-33
587,2561,559,859,481,354,146,156,2022-11-19-13-47
588,2526,534,874,486,334,133,159,2022-11-19-13-55
589,2535,523,914,490,327,120,154,2022-11-19-14-03
590,2493,507,911,482,313,119,155,2022-11-19-14-11
591,2514,489,941,489,315,117,157,2022-11-19-14-20
592,2535,494,959,493,319,106,159,2022-11-19-14-28
593,2488,470,946,500,322,106,139,2022-11-19-14-37
594,2543,477,989,507,313,116,136,2022-11-19-14-47
595,2518,468,995,496,303,115,136,2022-11-19-14-56
596,2518,469,989,496,307,111,141,2022-11-19-15-06
597,2492,474,953,506,309,102,143,2022-11-19-15-15
598,2534,488,950,526,311,111,142,2022-11-19-15-24
599,2492,488,923,509,314,110,143,2022-11-19-15-33
600,2460,491,887,524,282,127,144,2022-11-19-15-43
601,2453,488,870,515,288,136,149,2022-11-19-15-50
602,2525,518,866,508,302,166,154,2022-11-19-16-04
603,2497,516,838,482,321,174,153,2022-11-19-16-13
604,2498,504,831,476,346,173,155,2022-11-19-16-22
605,2477,525,815,451,352,183,143,2022-11-19-16-30
606,2551,534,806,484,366,217,135,2022-11-19-16-40
607,2643,564,791,482,413,249,137,2022-11-19-17-02
608,2640,546,777,444,423,302,141,2022-11-19-17-12
609,2636,572,723,414,444,326,151,2022-11-19-17-28
610,2555,545,722,354,437,327,164,2022-11-19-17-37
611,2555,554,718,334,456,318,170,2022-11-19-17-48
612,2530,519,709,348,457,317,175,2022-11-19-17-56
613,2440,498,695,355,415,291,180,2022-11-19-18-08
614,2478,483,705,373,465,266,179,2022-11-19-18-18
615,2524,505,749,383,429,254,198,2022-11-19-18-27
616,2575,541,758,398,424,267,180,2022-11-19-18-35
617,2613,553,772,399,438,270,174,2022-11-19-18-43
618,2597,553,771,408,420,260,178,2022-11-19-18-52
619,2605,552,793,423,402,253,173,2022-11-19-19-01
620,2630,549,794,437,406,259,177,2022-11-19-19-09
621,2561,535,773,425,385,258,176,2022-11-19-19-16
622,2603,544,789,423,399,262,177,2022-11-19-19-25
623,2642,527,809,436,420,261,180,2022-11-19-19-36
624,2622,501,780,432,447,278,175,2022-11-19-19-45
625,2598,552,780,437,460,184,175,2022-11-19-19-56
626,2602,474,768,439,460,272,178,2022-11-19-20-06
627,2685,577,728,429,485,279,178,2022-11-19-20-16
628,2586,491,684,435,512,276,154,2022-11-19-20-34
629,2623,581,642,440,500,276,151,2022-11-19-20-45
630,2517,570,607,430,437,288,152,2022-11-19-20-55
631,2706,618,600,447,563,326,144,2022-11-19-21-04
632,2699,618,596,440,552,343,141,2022-11-19-21-15
633,2753,632,570,440,603,358,140,2022-11-19-21-25
634,2685,591,552,419,595,380,137,2022-11-19-21-34
635,2343,365,530,409,498,390,140,2022-11-19-21-43
636,2722,572,540,400,661,396,142,2022-11-19-21-54
637,2391,296,532,391,599,421,141,2022-11-19-22-04
638,2542,583,508,382,532,386,140,2022-11-19-22-14
639,2694,583,498,391,627,447,138,2022-11-19-22-25
640,2726,608,483,383,632,475,136,2022-11-19-22-35
641,2715,609,465,377,665,451,139,2022-11-19-22-45
642,2468,632,442,382,597,267,138,2022-11-19-22-53
643,2641,628,447,385,591,438,141,2022-11-19-23-03
644,2448,651,444,380,487,339,137,2022-11-19-23-11
645,2763,667,442,372,643,490,139,2022-11-19-23-21
646,2766,672,438,381,628,499,138,2022-11-19-23-30
647,2687,667,435,380,635,419,140,2022-11-19-23-44
